Position;Measurement;DateTime;MethodName;ResultType;SampleName;DigestionRun;StandardType;SampleType;CoreID;Top;Bottom;Replicate;CalConc;CalGroup;As 189.042;Cd 214.438;Co 228.616;Cr 267.716;Cu 324.754;Fe 259.9_2;Fe 262.829;Mn 257.611;Ni 231.604;Pb 220.353;Sn 242.949;Ti 307.864;Ti 334.941;Zn 213.856
558;Single;10.03.17 15:27;sedi_metalle;RawInt;S 5.0 mg A;;;MerckIVCal;;;;;5;1;14588.5;8298830;3317450;2444710;2973790;1869390;377145;12489400;2411010;369386;84706.2;137572;207149;4847340
557;Average;10.03.17 15:27;sedi_metalle;RawInt;S 5.0 mg A;;;MerckIVCal;;;;;5;1;14564.6;8265450;3304620;2430380;2957910;1858470;378182;12411800;2396010;366850;84300.8;136857;206060;4822290
556;StdDev;10.03.17 15:27;sedi_metalle;RawInt;S 5.0 mg A;;;MerckIVCal;;;;;5;1;49.033;34117.3;21038.4;21441.5;24017.2;14440.1;3277.52;68009.3;22720;4112.54;556.519;1082.16;1562.85;27368.9
555;Single;10.03.17 15:22;sedi_metalle;RawInt;S 2.5 mg A;;;MerckIVCal;;;;;2.5;1;14171.9;4230220;1727770;1259160;1576130;959798;209917;6306170;1249470;203285;82779.4;136012;204021;2518550
554;Single;10.03.17 15:23;sedi_metalle;RawInt;S 2.5 mg A;;;MerckIVCal;;;;;2.5;1;14444.3;4160160;1699620;1240740;1554010;945482;212145;6201930;1230590;201054;83371.9;136432;204562;2478200
553;Single;10.03.17 15:23;sedi_metalle;RawInt;S 2.5 mg A;;;MerckIVCal;;;;;2.5;1;14349.4;4245720;1694850;1236410;1551880;944167;212906;6344290;1227000;201199;82949.3;136354;204239;2469010
552;Average;10.03.17 15:23;sedi_metalle;RawInt;S 2.5 mg A;;;MerckIVCal;;;;;2.5;1;14321.9;4212030;1707410;1245440;1560670;949816;211656;6284130;1235690;201846;83033.5;136266;204274;2488590
551;StdDev;10.03.17 15:23;sedi_metalle;RawInt;S 2.5 mg A;;;MerckIVCal;;;;;2.5;1;138.271;45587.2;17790;12080.3;13428.2;8669.92;1553.34;73694.7;12070.9;1248.32;305.099;223.401;272.193;26352.7
550;Single;10.03.17 15:19;sedi_metalle;RawInt;S 1.25 mg A;;;MerckIVCal;;;;;1.25;1;14241;2193820;896104;662724;876541;504135;130188;3208820;663759;121360;82526.5;136207;204437;1256950
549;Single;10.03.17 15:19;sedi_metalle;RawInt;S 1.25 mg A;;;MerckIVCal;;;;;1.25;1;14321.4;2234530;910747;671295;885927;508239;129774;3217360;672825;121446;80593;132942;198961;1279520
548;Single;10.03.17 15:20;sedi_metalle;RawInt;S 1.25 mg A;;;MerckIVCal;;;;;1.25;1;14371.7;2242080;913572;671996;889267;511927;130633;3192000;675264;121864;82701.6;136615;204082;1284970
547;Average;10.03.17 15:20;sedi_metalle;RawInt;S 1.25 mg A;;;MerckIVCal;;;;;1.25;1;14311.4;2223480;906808;668672;883912;508100;130198;3206060;670616;121557;81940.4;135255;202493;1273810
546;StdDev;10.03.17 15:20;sedi_metalle;RawInt;S 1.25 mg A;;;MerckIVCal;;;;;1.25;1;65.925;25959.4;9376.65;5162.74;6598.03;3897.85;429.593;12903.3;6062.26;269.61;1170.13;2013.19;3064.24;14856.1
545;Single;10.03.17 15:15;sedi_metalle;RawInt;S 0.5 mg A;;;MerckIVCal;;;;;0.5;1;13980.7;894999;402716;306938;461146;236074;79240;1357790;315346;69296.5;81121.7;134634;201074;523834
