#ID	SampleName	Weight [mg]	Type	Date	Time
1	ZH16-10 0-0.5	 100.6	Blank	09.02.2017	14:53
2	ZH16-10 1-1.5	  97.9	Blank	09.02.2017	14:55
3	ZH16-10 2-2.5 1	 110.6	Blank	09.02.2017	15:00
4	ZH16-10 2-2.5 2	  97.1	Blank	09.02.2017	15:03
5	ZH16-10 2-2.5 3	  96.9	Blank	09.02.2017	15:06
6	ZH16-10 3-3.5	  94.5	Blank	09.02.2017	15:28
7	ZH16-10 4-4.5	  99.0	Blank	09.02.2017	15:30
8	ZH16-10 5-5.5	  94.6	Blank	09.02.2017	15:32
9	ZH16-10 6-6.5	  93.9	Blank	09.02.2017	15:34
10	ZH16-10 6.5-7 1	  94.7	Blank	09.02.2017	15:41
11	ZH16-10 6.5-7 2	  97.4	Blank	09.02.2017	15:44
12	ZH16-10 6.5-7 3	 105.8	Blank	09.02.2017	15:46
13	ZH16-10 7-7.5 1	  96.8	Blank	09.02.2017	15:48
14	ZH16-10 7-7.5 2	  91.3	Blank	09.02.2017	15:51
15	ZH16-10 7-7.5 3	  96.9	Blank	09.02.2017	15:53
16	ZH16-10 7.5-8 1	  95.0	Blank	09.02.2017	15:57
17	ZH16-10 7.5-8 2	  94.5	Blank	09.02.2017	15:59
18	ZH16-10 7.5-8 3	 104.4	Blank	09.02.2017	16:01
19	ZH16-10 8-8.5 1	  95.5	Blank	09.02.2017	16:03
20	ZH16-10 8-8.5 2	  97.4	Blank	09.02.2017	16:05
21	ZH16-10 8-8.5 3	  94.9	Blank	09.02.2017	16:06
22	ZH16-10 8.5-9 1	  94.1	Blank	09.02.2017	16:09
23	ZH16-10 8.5-9 2	  99.4	Blank	09.02.2017	16:11
24	ZH16-10 8.5-9 3	  94.2	Blank	09.02.2017	16:15
25	ZH16-10 9-9.5 1	  98.1	Blank	09.02.2017	16:17
26	ZH16-10 9-9.5 2	  99.0	Blank	09.02.2017	16:18
27	ZH16-10 9-9.5 3	  97.4	Blank	09.02.2017	16:20
28	ZH16-10 9.5-10	  95.2	Blank	09.02.2017	16:22
29	ZH16-10 10-10.5	  94.4	Blank	09.02.2017	16:25
30	ZH16-10 12.5-13	  97.7	Blank	09.02.2017	16:26
31	ZH16-10 15-15.5	  98.9	Blank	09.02.2017	16:28
32	LKSD-2_3	 100.1	Blank	09.02.2017	16:31
33	LKSD-2_4	 106.4	Blank	09.02.2017	16:33
34	LKSD-3_3	  95.4	Blank	09.02.2017	16:34
35	LKSD-3_4	  97.3	Blank	09.02.2017	16:37
36	Lake Sediment 3	 101.1	Blank	09.02.2017	16:39
37	Lake Sediment 4	  97.5	Blank	09.02.2017	16:42
38	Channel Sediment 3	 106.8	Blank	09.02.2017	16:44
39	Channel Sediment 4	 105.6	Blank	09.02.2017	16:46


