202/198 raw;Error;201/198 raw;Error;200/198 raw;Error;199/198 raw;Error;204/198 raw;Error;198/196 raw;Error;202/198 Tl corr;Error;201/198 Tl corr;Error;200/198 Tl corr;Error;199/198 Tl corr;Error;204/198 Tl corr;Error;198/196 Tl corr;Error;Total Hg beam;Error;Total Tl beam;Error;Fract;Error;Hg196 beam;Error;Hg198 beam;Error;Hg199 beam;Error;Hg200 beam;Error;Hg201 beam;Error;Hg202 beam;Error;Hg204 beam;Error;Tl203 beam;Error;Tl205 beam;Error;Pt195 beam;Error;Au197 beam;Error;Pb207 beam;Error;Pb204/Hg204;Error;Pt198/Hg198;Error;Pt196/Hg196;Error;Sample Name;Date and Time;File Number
3.026925E+00; { 6.89E-05 } ;1.333883E+00; { 2.38E-05 } ;2.330436E+00; { 5.35E-05 } ;1.696860E+00; { 1.74E-05 } ;7.011515E-01; { 2.02E-05 } ;6.586758E+01; { 1.21E-02 } ;2.966144E+00; { 5.67E-05 } ;1.313697E+00; { 2.09E-05 } ;2.306784E+00; { 5.35E-05 } ;1.688229E+00; { 1.92E-05 } ;6.802261E-01; { 1.86E-05 } ;6.518855E+01; { 1.16E-02 } ;1.133823E+01; { 5.85E-03 } ;1.550349E+01; { 5.32E-02 } ;-1.012925E+00; { 1.76E-03 } ;1.703343E-02; { 8.55E-06 } ;1.122095E+00; { 5.67E-04 } ;1.904057E+00; { 9.67E-04 } ;2.615005E+00; { 1.34E-03 } ;1.496741E+00; { 7.76E-04 } ;3.396533E+00; { 1.77E-03 } ;7.867670E-01; { 4.18E-04 } ;4.545110E+00; { 1.56E-02 } ;1.095838E+01; { 3.77E-02 } ;1.351697E-05; { 2.72E-06 } ;5.987207E-05; { 6.45E-06 } ;2.584482E-04; { 3.35E-06 } ;2.088086E-05; { 2.70E-07 } ;2.590485E-06; { 5.22E-07 } ;5.948976E-04; { 1.20E-04 } ;'NIST 10ppb' run on 14 March 2017 at 16:39;;
3.028654E+00; { 5.61E-05 } ;1.334465E+00; { 2.40E-05 } ;2.331072E+00; { 6.83E-05 } ;1.697053E+00; { 2.07E-05 } ;7.017512E-01; { 2.01E-05 } ;6.585725E+01; { 1.30E-02 } ;2.965463E+00; { 7.14E-05 } ;1.313494E+00; { 2.28E-05 } ;2.306483E+00; { 6.18E-05 } ;1.688060E+00; { 2.09E-05 } ;6.800091E-01; { 2.25E-05 } ;6.515646E+01; { 1.25E-02 } ;1.143961E+01; { 2.58E-03 } ;1.570454E+01; { 5.45E-02 } ;-1.053008E+00; { 1.70E-03 } ;1.718296E-02; { 4.56E-06 } ;1.131703E+00; { 2.50E-04 } ;1.920564E+00; { 4.31E-04 } ;2.638118E+00; { 5.89E-04 } ;1.510239E+00; { 3.50E-04 } ;3.427606E+00; { 7.82E-04 } ;7.942009E-01; { 1.86E-04 } ;4.602798E+00; { 1.59E-02 } ;1.110174E+01; { 3.86E-02 } ;-1.367130E-05; { 3.15E-06 } ;1.055222E-05; { 4.73E-06 } ;2.598450E-04; { 3.30E-06 } ;2.079347E-05; { 2.59E-07 } ;-2.601482E-06; { 5.99E-07 } ;-5.975799E-04; { 1.38E-04 } ;'NIST 10ppb' run on 14 March 2017 at 16:49;;
3.025755E+00; { 5.18E-05 } ;1.333542E+00; { 1.95E-05 } ;2.329805E+00; { 8.08E-05 } ;1.696747E+00; { 1.74E-05 } ;7.007503E-01; { 1.88E-05 } ;6.580150E+01; { 1.14E-02 } ;2.960682E+00; { 6.16E-05 } ;1.311913E+00; { 2.19E-05 } ;2.304506E+00; { 7.94E-05 } ;1.687494E+00; { 2.14E-05 } ;6.783670E-01; { 1.88E-05 } ;6.508002E+01; { 1.11E-02 } ;1.088489E+01; { 3.76E-03 } ;1.584670E+01; { 3.61E-02 } ;-1.085904E+00; { 1.33E-03 } ;1.637833E-02; { 6.70E-06 } ;1.077520E+00; { 3.78E-04 } ;1.828290E+00; { 6.39E-04 } ;2.510428E+00; { 8.56E-04 } ;1.436913E+00; { 4.99E-04 } ;3.260304E+00; { 1.12E-03 } ;7.552100E-01; { 2.18E-04 } ;4.643433E+00; { 1.06E-02 } ;1.120327E+01; { 2.56E-02 } ;-3.844492E-06; { 2.47E-06 } ;2.239161E-05; { 4.90E-06 } ;2.429919E-04; { 2.46E-06 } ;2.044109E-05; { 2.08E-07 } ;-7.671389E-07; { 4.94E-07 } ;-1.759043E-04; { 1.13E-04 } ;'Fluka 10ppb' run on 14 March 2017 at 17:03;;
3.028733E+00; { 4.99E-04 } ;1.334471E+00; { 1.75E-04 } ;2.330975E+00; { 2.05E-04 } ;1.697056E+00; { 7.22E-05 } ;7.017723E-01; { 1.76E-04 } ;6.583576E+01; { 1.75E-02 } ;2.965968E+00; { 2.32E-04 } ;1.313592E+00; { 6.63E-05 } ;2.306580E+00; { 1.19E-04 } ;1.688078E+00; { 3.24E-05 } ;6.801734E-01; { 7.62E-05 } ;6.512570E+01; { 1.74E-02 } ;1.127523E+01; { 1.15E-02 } ;1.568974E+01; { 7.34E-02 } ;-1.045815E+00; { 1.20E-02 } ;1.695322E-02; { 1.30E-05 } ;1.116427E+00; { 8.33E-04 } ;1.894682E+00; { 1.47E-03 } ;2.600087E+00; { 2.61E-03 } ;1.488541E+00; { 1.55E-03 } ;3.378413E+00; { 3.61E-03 } ;7.827917E-01; { 8.95E-04 } ;4.598485E+00; { 2.13E-02 } ;1.109126E+01; { 5.21E-02 } ;-1.327945E-05; { 2.92E-06 } ;-4.879526E-07; { 4.15E-06 } ;2.385915E-04; { 3.68E-06 } ;1.940232E-05; { 3.00E-07 } ;-2.560549E-06; { 5.62E-07 } ;-5.878270E-04; { 1.29E-04 } ;'NIST 10ppb' run on 14 March 2017 at 17:17;;
3.022588E+00; { 1.10E-04 } ;1.332407E+00; { 4.17E-05 } ;2.328788E+00; { 6.27E-05 } ;1.696386E+00; { 2.47E-05 } ;6.996174E-01; { 3.62E-05 } ;6.582892E+01; { 1.10E-02 } ;2.962495E+00; { 8.38E-05 } ;1.312438E+00; { 2.80E-05 } ;2.305377E+00; { 6.97E-05 } ;1.687837E+00; { 2.22E-05 } ;6.789558E-01; { 2.89E-05 } ;6.516247E+01; { 1.09E-02 } ;1.078376E+01; { 5.39E-03 } ;1.563098E+01; { 5.29E-02 } ;-1.003261E+00; { 2.84E-03 } ;1.622556E-02; { 8.07E-06 } ;1.068230E+00; { 5.13E-04 } ;1.812120E+00; { 8.83E-04 } ;2.487654E+00; { 1.23E-03 } ;1.423327E+00; { 7.18E-04 } ;3.228843E+00; { 1.65E-03 } ;7.473609E-01; { 3.92E-04 } ;4.582834E+00; { 1.54E-02 } ;1.104815E+01; { 3.74E-02 } ;1.541166E-05; { 2.65E-06 } ;9.952041E-06; { 3.27E-06 } ;2.491433E-04; { 2.96E-06 } ;2.129710E-05; { 2.39E-07 } ;3.103029E-06; { 5.33E-07 } ;7.120179E-04; { 1.22E-04 } ;'Fluka 10 ppb' run on 14 March 2017 at 17:30;;
3.026837E+00; { 6.23E-05 } ;1.333783E+00; { 2.32E-05 } ;2.330189E+00; { 5.68E-05 } ;1.696787E+00; { 2.14E-05 } ;7.011269E-01; { 1.96E-05 } ;6.582172E+01; { 1.34E-02 } ;2.966483E+00; { 6.19E-05 } ;1.313725E+00; { 1.98E-05 } ;2.306682E+00; { 5.72E-05 } ;1.688171E+00; { 2.14E-05 } ;6.803530E-01; { 1.94E-05 } ;6.515218E+01; { 1.33E-02 } ;1.132029E+01; { 3.43E-03 } ;1.581479E+01; { 3.85E-02 } ;-1.005879E+00; { 1.33E-03 } ;1.702276E-02; { 6.35E-06 } ;1.120517E+00; { 3.47E-04 } ;1.901268E+00; { 5.99E-04 } ;2.610637E+00; { 7.94E-04 } ;1.494376E+00; { 4.52E-04 } ;3.391283E+00; { 1.04E-03 } ;7.855475E-01; { 2.44E-04 } ;4.636602E+00; { 1.13E-02 } ;1.117819E+01; { 2.73E-02 } ;1.669287E-05; { 2.89E-06 } ;2.998624E-05; { 3.77E-06 } ;2.571388E-04; { 2.66E-06 } ;2.072221E-05; { 2.26E-07 } ;3.205750E-06; { 5.54E-07 } ;7.356868E-04; { 1.27E-04 } ;'NIST 10 ppb' run on 14 March 2017 at 17:43;;
3.030173E+00; { 7.25E-05 } ;1.334968E+00; { 2.72E-05 } ;2.331702E+00; { 6.95E-05 } ;1.697310E+00; { 1.77E-05 } ;7.021631E-01; { 2.37E-05 } ;6.590786E+01; { 1.19E-02 } ;2.965657E+00; { 5.61E-05 } ;1.313547E+00; { 2.22E-05 } ;2.306672E+00; { 6.14E-05 } ;1.688124E+00; { 1.75E-05 } ;6.799856E-01; { 2.16E-05 } ;6.519173E+01; { 1.19E-02 } ;1.143479E+01; { 6.59E-03 } ;1.583357E+01; { 4.40E-02 } ;-1.073990E+00; { 1.69E-03 } ;1.715794E-02; { 1.05E-05 } ;1.130861E+00; { 6.59E-04 } ;1.919426E+00; { 1.12E-03 } ;2.636839E+00; { 1.53E-03 } ;1.509684E+00; { 8.64E-04 } ;3.426754E+00; { 1.96E-03 } ;7.940694E-01; { 4.48E-04 } ;4.639927E+00; { 1.28E-02 } ;1.119365E+01; { 3.11E-02 } ;-6.020891E-06; { 2.83E-06 } ;1.302745E-05; { 3.46E-06 } ;2.301629E-04; { 3.28E-06 } ;1.842343E-05; { 2.67E-07 } ;-1.142543E-06; { 5.41E-07 } ;-2.627737E-04; { 1.24E-04 } ;'NIST (after retuning)' run on 14 March 2017 at 18:06;;
3.028365E+00; { 5.04E-05 } ;1.334530E+00; { 2.08E-05 } ;2.330894E+00; { 5.90E-05 } ;1.697156E+00; { 2.12E-05 } ;7.016328E-01; { 1.72E-05 } ;6.594413E+01; { 1.52E-02 } ;2.960489E+00; { 6.38E-05 } ;1.311964E+00; { 2.56E-05 } ;2.304502E+00; { 5.61E-05 } ;1.687496E+00; { 2.33E-05 } ;6.782799E-01; { 2.11E-05 } ;6.519011E+01; { 1.51E-02 } ;1.064375E+01; { 5.58E-03 } ;1.584559E+01; { 4.96E-02 } ;-1.132103E+00; { 9.63E-04 } ;1.597139E-02; { 1.09E-05 } ;1.053029E+00; { 5.60E-04 } ;1.787166E+00; { 9.49E-04 } ;2.454485E+00; { 1.28E-03 } ;1.405291E+00; { 7.40E-04 } ;3.188968E+00; { 1.66E-03 } ;7.388331E-01; { 3.81E-04 } ;4.641612E+00; { 1.45E-02 } ;1.120397E+01; { 3.51E-02 } ;-1.424730E-05; { 2.97E-06 } ;-3.093295E-06; { 3.93E-06 } ;2.299248E-04; { 2.72E-06 } ;1.974720E-05; { 2.35E-07 } ;-2.913248E-06; { 6.07E-07 } ;-6.693307E-04; { 1.39E-04 } ;'Fluka 10 ppb' run on 14 March 2017 at 18:19;;
3.028073E+00; { 4.08E-05 } ;1.334222E+00; { 1.80E-05 } ;2.331104E+00; { 6.54E-05 } ;1.696978E+00; { 1.83E-05 } ;7.014947E-01; { 1.49E-05 } ;6.590469E+01; { 1.66E-02 } ;2.966451E+00; { 5.41E-05 } ;1.313737E+00; { 2.41E-05 } ;2.307117E+00; { 7.68E-05 } ;1.688188E+00; { 2.10E-05 } ;6.803039E-01; { 2.00E-05 } ;6.522073E+01; { 1.65E-02 } ;1.139769E+01; { 2.45E-03 } ;1.603100E+01; { 3.73E-02 } ;-1.025229E+00; { 1.12E-03 } ;1.710695E-02; { 7.76E-06 } ;1.127806E+00; { 2.22E-04 } ;1.913857E+00; { 3.79E-04 } ;2.628750E+00; { 5.63E-04 } ;1.504604E+00; { 3.27E-04 } ;3.414747E+00; { 7.39E-04 } ;7.910294E-01; { 1.62E-04 } ;4.699284E+00; { 1.09E-02 } ;1.133171E+01; { 2.64E-02 } ;-2.602994E-06; { 3.44E-06 } ;1.846080E-05; { 4.62E-06 } ;2.692718E-04; { 3.34E-06 } ;2.164773E-05; { 2.70E-07 } ;-4.965120E-07; { 6.56E-07 } ;-1.146693E-04; { 1.51E-04 } ;'NIST 10 ppb' run on 14 March 2017 at 18:32;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
