FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ti_Area ;Ti_ DArea ;Ti_ ChiSqr;V_Area ;V_ DArea ;V_ ChiSqr;Cr_Area ;Cr_ DArea ;Cr_ ChiSqr;Mn_Area ;Mn_ DArea ;Mn_ ChiSqr;Fe_Area ;Fe_ DArea ;Fe_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   45.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;27/01/2017 10:47:40;;45;;-987;865;1.2;1713;684;3.2;8004;469;2.6;1108;475;1;4327;483;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   46.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;27/01/2017 10:49:26;;46;;-138;882;1.5;3082;696;3.6;8093;471;3.5;1568;476;1.1;4486;484;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   47.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;27/01/2017 10:51:13;;47;;-888;809;1.5;2511;641;3.2;7722;462;3.4;2478;470;0.7;5022;479;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   48.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;27/01/2017 10:52:59;;48;;-388;631;2.2;2358;509;2;7007;425;3.9;1967;435;1.1;4657;448;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   49.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;97;27/01/2017 10:54:46;;49;;402;535;2.1;3429;432;3.4;5820;390;4.4;1142;395;1;29142;490;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   50.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;100;27/01/2017 10:56:35;;50;;3581;517;3;2939;414;4.2;7303;376;5.5;902;376;1.5;59778;509;1.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   51.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;101;27/01/2017 10:58:27;;51;;4844;515;2.8;3249;411;3.3;7448;374;7;1690;375;0.9;72021;520;2.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   52.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;101;27/01/2017 11:00:20;;52;;3529;515;3.7;3039;411;3.6;7137;374;6.1;1596;375;1;73327;522;2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   53.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;101;27/01/2017 11:02:13;;53;;4447;514;4;3178;411;3.9;7243;375;6.6;1510;376;1.3;72494;521;1.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   54.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;101;27/01/2017 11:04:06;;54;;4503;514;2.8;3059;411;3.7;7495;375;5.9;1562;376;1;72190;520;2.3
