FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Al_Area ;Al_ DArea ;Al_ ChiSqr;Si_Area ;Si_ DArea ;Si_ ChiSqr;P_Area ;P_ DArea ;P_ ChiSqr;S_Area ;S_ DArea ;S_ ChiSqr;Cl_Area ;Cl_ DArea ;Cl_ ChiSqr;K_Area ;K_ DArea ;K_ ChiSqr;Ca_Area ;Ca_ DArea ;Ca_ ChiSqr;Rh_Area ;Rh_ DArea ;Rh_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   45.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;27/01/2017 10:47:40;;45;;571;95;0.5;67248;291;0.6;105;118;1.2;9734;219;6.6;15581;1600;1.5;-2611;284;1.2;14474;301;3;178098;1459;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   46.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;27/01/2017 10:49:26;;46;;485;96;0.8;67039;291;1.1;-35;118;0.5;7517;213;4.7;19960;1642;1.1;-2617;282;1.5;13635;297;1.4;174271;1462;1.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   47.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;27/01/2017 10:51:13;;47;;466;96;0.8;67028;291;1.2;-26;117;0.9;7199;213;7;17289;1594;0.6;-2591;285;1.2;14695;301;0.9;175910;1450;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   48.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;96;27/01/2017 10:52:59;;48;;386;97;0.6;67531;293;0.7;-205;119;0.8;7239;211;5.6;19224;971;1.5;-1974;282;2.1;43808;371;1.2;173972;1108;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   49.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;97;27/01/2017 10:54:46;;49;;489;113;1;73156;313;0.8;-552;149;0.9;4641;213;8.7;19655;703;2.6;1300;321;5.5;626669;858;4.6;174373;957;3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   50.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;100;27/01/2017 10:56:35;;50;;1176;134;1.6;86743;346;1.6;-831;179;1.3;4502;224;11.1;21054;705;4.7;9389;366;9.7;1468358;1242;9.6;172793;970;5.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   51.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;101;27/01/2017 10:58:27;;51;;1477;141;0.7;91192;356;1.8;-551;191;1.5;5150;233;12.3;20264;706;6.7;11035;381;11.4;1776765;1354;12.7;173671;975;8.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   52.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;101;27/01/2017 11:00:20;;52;;1724;140;1.2;89759;354;1.6;-604;191;2;5903;236;7.8;22500;723;5;11092;380;9.9;1787235;1357;12;178885;992;8.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   53.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;101;27/01/2017 11:02:13;;53;;1239;138;1.2;87880;351;1;-604;190;1.5;5735;237;5.3;21815;725;4.9;9919;378;10.8;1760063;1347;13.3;180402;995;7.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11_1mm\Run 1 at  10kV\ZH-16-11_1mm   54.0mm  90s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;90;101;27/01/2017 11:04:06;;54;;1407;142;1.9;91171;358;2.1;-797;194;2.2;5911;240;7.4;21200;729;4.8;10049;380;12.3;1840185;1375;14.2;181964;1003;7
