FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Al_Area ;Al_ DArea ;Al_ ChiSqr;Si_Area ;Si_ DArea ;Si_ ChiSqr;P_Area ;P_ DArea ;P_ ChiSqr;S_Area ;S_ DArea ;S_ ChiSqr;Cl_Area ;Cl_ DArea ;Cl_ ChiSqr;K_Area ;K_ DArea ;K_ ChiSqr;Ca_Area ;Ca_ DArea ;Ca_ ChiSqr;Rh_Area ;Rh_ DArea ;Rh_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   45.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;35;03.01.17 12:15;;45;;450;92;0.7;42433;242;1.1;-114;116;0.3;7462;214;5.5;7680;1568;2.1;-3246;292;2;17113;315;1.8;182249;1513;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   50.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;37;03.01.17 12:15;;50;;499;105;1.3;45834;259;1.1;-407;138;1.1;3991;211;10.3;19833;788;1.7;-1556;315;5.7;369786;705;2.4;190509;1027;1.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   55.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;03.01.17 12:16;;55;;876;136;0.8;63026;310;0.9;-1034;191;3.9;6753;241;6.3;22342;779;2.9;8024;382;10.8;1714382;1334;18.6;187568;1042;5.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   60.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;43;03.01.17 12:17;;60;;1249;143;1.5;71039;327;1.2;-806;201;2.7;11699;260;6.3;19504;776;4.1;12835;397;16.1;1962786;1421;18.4;194821;1051;7.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   65.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;43;03.01.17 12:18;;65;;1736;144;1.2;81435;343;1;-972;195;2.6;13731;263;6.9;23387;768;3.8;18029;404;18.9;1832308;1379;14.4;194702;1043;7.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   70.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:19;;70;;1815;149;1.9;90043;359;2.1;-991;200;2.4;15030;271;4.9;25944;793;5.5;23321;416;17.4;1904786;1404;15;212568;1079;11.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   75.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:20;;75;;3130;159;1.4;118722;402;1.7;-997;205;2.5;25041;293;6.3;22941;752;5.1;34061;434;22.1;1983139;1431;14.5;203518;1040;10
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   80.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:21;;80;;9518;187;0.9;249443;546;4.3;327;202;1.7;13526;264;6.9;28340;726;8.1;68083;471;26.6;1714388;1340;12.1;205156;1025;15.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   85.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:22;;85;;12110;198;1.8;286070;581;2.8;637;204;2.4;6667;252;9.6;28417;735;7.9;82478;492;30.4;1760102;1359;14.9;220956;1045;15.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10   90.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;43;03.01.17 12:23;;90;;8851;182;2.5;210481;506;2.5;274;195;2.6;9528;253;10.8;27361;731;8.2;63087;467;26.7;1518532;1271;11.8;209109;1034;16.4
