FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ni_Area ;Ni_ DArea ;Ni_ ChiSqr;Cu_Area ;Cu_ DArea ;Cu_ ChiSqr;Zn_Area ;Zn_ DArea ;Zn_ ChiSqr;Ga_Area ;Ga_ DArea ;Ga_ ChiSqr;Br_Area ;Br_ DArea ;Br_ ChiSqr;Rb_Area ;Rb_ DArea ;Rb_ ChiSqr;Sr_Area ;Sr_ DArea ;Sr_ ChiSqr;Y_Area ;Y_ DArea ;Y_ ChiSqr;Zr_Area ;Zr_ DArea ;Zr_ ChiSqr;Nb_Area ;Nb_ DArea ;Nb_ ChiSqr;Mo_Area ;Mo_ DArea ;Mo_ ChiSqr;Hg_Area ;Hg_ DArea ;Hg_ ChiSqr;Pb_Area ;Pb_ DArea ;Pb_ ChiSqr;Bi_Area ;Bi_ DArea ;Bi_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  100.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;62;04.01.17 20:11;;100;;1093;3;1.9;8352;4;0.8;37561;7;1.3;-217;5;0.5;2902;14;0.7;9020;18;0.6;86476;22;0.5;5867;21;0.7;9590;22;0.6;976;22;0.7;72;22;1.2;719;7;0.7;15200;10;1.4;1402;10;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  105.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;63;04.01.17 20:13;;105;;1154;3;3;8355;4;1.1;35928;7;0.5;-295;5;1;3915;14;1;8621;18;0.8;90422;22;0.8;5864;21;0.9;10248;22;0.4;1743;22;0.6;-504;23;1.1;1079;7;0.3;14585;10;0.9;1592;10;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  110.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;64;04.01.17 20:14;;110;;1079;3;1.7;8727;4;0.8;24167;6;0.7;-569;6;0.7;2620;14;1.1;10333;18;0.6;89762;22;0.9;6108;21;1.4;9889;22;0.7;470;22;0.6;-762;23;1.3;871;7;0.6;15143;10;0.7;1472;10;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  115.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;64;04.01.17 20:15;;115;;1255;3;1.6;9067;4;0.6;20150;6;0.8;-276;6;0.6;3164;14;1.2;11284;19;0.6;92678;22;1.2;6204;21;1.3;11909;23;0.7;-1357;23;0.9;-1405;23;1.6;946;7;0.7;16565;10;0.7;1474;10;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  120.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;65;04.01.17 20:16;;120;;1323;3;1.5;9236;4;0.5;17401;6;0.6;-540;6;0.7;3137;14;0.8;11792;19;0.6;89818;22;1.3;6282;21;1.5;11908;23;0.6;-1650;23;1.2;-1954;23;0.9;1163;8;1;18108;10;0.7;1656;10;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  125.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;67;04.01.17 20:18;;125;;1390;3;1.3;9982;4;0.9;17999;6;1.1;-690;6;1.8;2925;14;0.5;14792;19;0.3;82723;22;0.8;7043;22;1.7;14616;23;0.6;-2221;23;1;-1393;23;0.5;1348;8;0.3;27716;10;1.6;1302;10;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  130.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;69;04.01.17 20:19;;130;;1676;3;1.9;12945;5;0.8;20367;6;0.9;-1115;6;2.1;2434;15;0.9;17742;19;0.5;87185;22;0.7;8963;22;1.6;16072;23;0.5;-388;23;0.8;-48;23;1;1524;8;0.5;40840;11;2.4;784;10;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  135.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;71;04.01.17 20:20;;135;;2297;98;1.7;16701;171;0.7;18520;202;0.9;-1199;187;3;2653;491;0.7;18754;615;0.5;89503;792;0.4;9053;694;2.2;18941;736;0.4;1557;797;0.4;2926;762;1.2;1824;260;0.4;48032;377;3;750;337;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  140.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;71;04.01.17 20:22;;140;;2263;3;1.2;17151;5;1;12634;6;0.7;-924;6;3.3;2562;15;0.8;21868;19;0.9;90899;23;0.6;8288;22;1.1;18143;23;0.5;603;23;0.7;440;24;0.4;2371;8;0.7;49492;11;3.2;974;10;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  145.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;71;04.01.17 20:23;;145;;1997;98;1.5;13940;165;0.5;9001;169;0.7;-391;188;2.1;3506;501;0.6;19451;624;0.5;89962;808;0.5;9190;704;1.3;16141;744;0.7;-450;774;1.1;792;761;0.7;2451;262;0.7;40233;371;1.6;721;341;0.8
