FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Al_Area ;Al_ DArea ;Al_ ChiSqr;Si_Area ;Si_ DArea ;Si_ ChiSqr;P_Area ;P_ DArea ;P_ ChiSqr;S_Area ;S_ DArea ;S_ ChiSqr;Cl_Area ;Cl_ DArea ;Cl_ ChiSqr;K_Area ;K_ DArea ;K_ ChiSqr;Ca_Area ;Ca_ DArea ;Ca_ ChiSqr;Rh_Area ;Rh_ DArea ;Rh_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   45.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;36;04.01.17 10:38;;45;;298;94;0.9;43348;245;2.3;-28;116;0.6;8294;215;7;14222;1584;1.1;-2972;287;0.7;14982;309;2;178950;1447;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   50.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;39;04.01.17 10:39;;50;;833;123;0.7;58338;294;0.8;-905;167;2;8626;228;7.9;17334;705;3.4;5193;344;8.5;1089107;1086;5.8;165668;952;3.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   55.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;04.01.17 10:40;;55;;2303;154;1.5;80254;347;1.4;-714;214;4.1;7620;253;11;19733;747;7.2;17008;414;15.1;2552476;1601;20.1;182216;1022;10.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   60.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;04.01.17 10:41;;60;;1977;159;1.6;80520;351;1.8;-1470;220;3.8;9774;264;10.9;20559;779;5.7;18273;425;16.9;2641107;1630;22.8;195800;1060;9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   65.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;47;04.01.17 10:42;;65;;2533;158;1.2;82898;353;1.6;-877;221;4.9;12287;271;11.3;21225;772;4.9;20843;430;19.5;2666820;1638;23.3;195878;1051;8.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   70.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;47;04.01.17 10:43;;70;;2255;160;1.8;84980;358;1.9;-1095;221;5.3;14677;277;10.4;21281;772;6.8;23294;434;20.9;2627763;1627;24;194295;1054;11.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   75.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;04.01.17 10:44;;75;;2582;157;1.1;83678;353;1;-492;215;5;14183;272;5.8;21254;771;5.8;25322;432;18.3;2469214;1581;22.5;194091;1052;11.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   80.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;04.01.17 10:45;;80;;2516;157;1.1;83589;353;1.6;-659;214;3.8;12713;268;7;20938;766;4.9;26187;431;22;2458087;1577;22.2;193214;1045;9.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   85.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;04.01.17 10:46;;85;;2314;155;0.7;83114;351;1.3;-1126;210;4.9;11697;264;7.1;21542;765;5.9;23472;427;19;2350824;1546;21.2;191775;1044;11.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   90.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;04.01.17 10:47;;90;;2402;155;1.7;82027;349;1.4;-1079;212;3.4;10675;262;8.5;20264;759;4.9;21703;424;17.3;2430242;1568;23.9;191723;1037;9.9
