FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ti_Area ;Ti_ DArea ;Ti_ ChiSqr;V_Area ;V_ DArea ;V_ ChiSqr;Cr_Area ;Cr_ DArea ;Cr_ ChiSqr;Mn_Area ;Mn_ DArea ;Mn_ ChiSqr;Fe_Area ;Fe_ DArea ;Fe_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   45.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;36;04.01.17 10:38;;45;;-1013;784;0.8;92;626;1.6;6487;448;2.1;1659;457;1;4617;465;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   50.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;39;04.01.17 10:39;;50;;3322;517;0.5;1677;412;1.9;5255;374;3.3;979;380;0.3;44984;495;1.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   55.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;04.01.17 10:40;;55;;7429;506;0.9;1345;400;2.8;7433;365;5.5;674;369;0.8;103008;546;4.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   60.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;04.01.17 10:41;;60;;8695;515;1.4;955;404;0.9;7649;370;5.5;382;376;0.6;116919;568;4.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   65.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;47;04.01.17 10:42;;65;;9867;520;1;1019;409;1.4;7210;372;5.2;789;379;0.5;131824;582;4.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   70.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;47;04.01.17 10:43;;70;;10008;523;1.8;527;410;1.5;8549;375;3.9;1096;380;0.4;147023;595;5.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   75.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;04.01.17 10:44;;75;;11539;540;0.9;471;423;1.5;8101;383;2.6;914;390;0.7;152738;593;4.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   80.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;04.01.17 10:45;;80;;10812;525;0.9;1273;412;1.1;7594;375;4.9;541;380;0.3;143117;593;3.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   85.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;04.01.17 10:46;;85;;10238;524;1.4;1493;411;1.7;7233;374;3.9;1210;380;0.4;141590;590;3.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   90.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;04.01.17 10:47;;90;;8284;531;0.7;699;419;1.1;8469;381;4.5;482;386;0.4;129342;569;3.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11   95.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;47;04.01.17 10:48;;95;;8291;518;1.6;831;406;1.6;8724;373;5.4;1118;377;0.6;119956;567;6.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11  100.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;47;04.01.17 10:49;;100;;8890;516;1.1;830;405;2.2;7855;372;4.2;662;377;0.4;122344;572;4.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11  105.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;04.01.17 10:50;;105;;11990;523;1.8;1410;409;1.6;8630;373;4.9;1671;378;0.3;149643;597;5.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11  110.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;04.01.17 10:51;;110;;11310;544;1.2;1890;435;1.9;8017;390;5.2;2152;401;0.4;166131;590;40.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11  115.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;04.01.17 10:51;;115;;13163;532;1.4;1600;415;1.2;7899;378;4.1;2174;385;0.4;178404;624;3.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11  120.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;04.01.17 10:52;;120;;11786;537;0.8;1535;419;1.1;8241;381;2.8;2506;386;0.4;168936;618;2.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11  125.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;04.01.17 10:53;;125;;10197;531;2.3;1077;415;0.6;8028;379;4.2;2230;385;0.5;165229;614;3.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11  130.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;04.01.17 10:54;;130;;11777;531;1.1;1537;415;1.6;7790;379;2.8;1593;386;1;155980;607;3.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11  135.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;04.01.17 10:55;;135;;12557;536;1.1;1123;418;1.3;8695;382;3.7;1960;388;0.2;174650;626;3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11  140.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;04.01.17 10:56;;140;;11618;535;1.4;1494;419;0.8;7996;382;3.7;2360;389;0.5;185570;634;3.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-11\Run 1 at  10kV\ZH-16-11  145.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;04.01.17 10:57;;145;;13470;540;1.5;1409;421;0.9;9091;387;3.2;3247;394;0.2;224886;668;3.4
