FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Al_Area ;Al_ DArea ;Al_ ChiSqr;Si_Area ;Si_ DArea ;Si_ ChiSqr;P_Area ;P_ DArea ;P_ ChiSqr;S_Area ;S_ DArea ;S_ ChiSqr;Cl_Area ;Cl_ DArea ;Cl_ ChiSqr;K_Area ;K_ DArea ;K_ ChiSqr;Ca_Area ;Ca_ DArea ;Ca_ ChiSqr;Rh_Area ;Rh_ DArea ;Rh_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-21\Run 1 at  10kV\ZH-17-21   37.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;39;11.04.17 17:07;;37;;5603;147;1.2;88260;344;2.1;-664;157;1.8;21629;270;18.4;14112;782;3.4;-266;340;4.4;435886;763;3;222876;1071;2.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-21\Run 1 at  10kV\ZH-17-21   40.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;11.04.17 17:08;;40;;5311;162;2.1;99630;373;3.3;-663;194;3;26968;292;15.7;10787;750;7.1;4239;380;11.1;1500326;1264;13.7;205717;1049;4.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-21\Run 1 at  10kV\ZH-17-21   45.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;11.04.17 17:09;;45;;4912;166;1.5;101972;381;1.6;-1439;209;4.4;22778;288;11.6;12207;746;6.6;8017;398;13.6;2141761;1481;18.9;194782;1042;7.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-21\Run 1 at  10kV\ZH-17-21   50.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;11.04.17 17:10;;50;;4629;166;1.8;95824;373;1;-1210;213;4.3;21458;288;10.2;12189;748;4;5036;390;9.6;2265717;1516;19.7;190111;1038;6.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-21\Run 1 at  10kV\ZH-17-21   55.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;11.04.17 17:11;;55;;4065;156;1.8;86968;353;1.2;-1368;194;1.4;18809;272;8;12018;736;4;4483;375;10;1685243;1324;17.4;188279;1023;5.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-21\Run 1 at  10kV\ZH-17-21   60.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;11.04.17 17:11;;60;;4354;154;0.9;86240;351;2.2;-1342;194;2.8;20407;277;7.8;11470;730;5.1;2538;370;8.7;1734005;1340;16.2;184113;1014;5.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-21\Run 1 at  10kV\ZH-17-21   65.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;41;11.04.17 17:12;;65;;4658;153;0.9;92209;358;1.1;-1040;185;2.2;18221;268;7.3;13371;727;3.5;6636;372;11.7;1421379;1228;15.3;187080;1010;4.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-21\Run 1 at  10kV\ZH-17-21   70.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;11.04.17 17:13;;70;;5299;168;2.3;112638;395;0.9;-1527;206;2.7;22443;289;9.4;13740;755;4.7;8328;398;12.7;1989566;1433;17.6;201716;1056;7.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-21\Run 1 at  10kV\ZH-17-21   75.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;47;11.04.17 17:14;;75;;6414;179;1.7;125059;417;3;-1529;217;2;26747;309;29.5;13957;811;7;13190;431;17.7;2215525;1515;21.9;242554;1138;7.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-21\Run 1 at  10kV\ZH-17-21   80.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;48;11.04.17 17:15;;80;;5791;179;2.2;112821;402;2.7;-1779;224;4.2;26467;311;31;12849;823;7.7;2883;414;10.5;2517616;1603;26.2;244500;1148;5.3
