FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Al_Area ;Al_ DArea ;Al_ ChiSqr;Si_Area ;Si_ DArea ;Si_ ChiSqr;P_Area ;P_ DArea ;P_ ChiSqr;S_Area ;S_ DArea ;S_ ChiSqr;Cl_Area ;Cl_ DArea ;Cl_ ChiSqr;K_Area ;K_ DArea ;K_ ChiSqr;Ca_Area ;Ca_ DArea ;Ca_ ChiSqr;Rh_Area ;Rh_ DArea ;Rh_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  105.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 12:47;;105;;6228;190;2.7;119582;417;2.4;-2465;245;5;12761;290;29;12894;835;9.5;5364;437;14.1;3636389;1897;47.1;246021;1172;11.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  110.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 12:48;;110;;6809;202;2.4;138146;447;1.8;-3005;260;5.1;14364;303;30.2;11237;838;9.7;11946;457;16.9;4167654;2022;45.3;252065;1183;12.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  115.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;56;11.04.17 12:49;;115;;6549;203;3.4;135668;445;2.5;-2631;262;4.9;15995;305;29.6;12947;845;6.7;11208;459;17.1;4312195;2054;44.3;251090;1190;11.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  120.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;54;11.04.17 12:50;;120;;6008;194;3.1;112088;410;2.8;-2481;255;6.7;11940;293;29.4;13368;858;5.4;3757;437;11.7;3996633;1982;47.3;252888;1194;6.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  125.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 12:51;;125;;6146;194;2.7;110321;408;1.4;-2087;257;5.6;12041;293;30.8;12747;857;7.7;2364;435;12.1;4066378;1998;49.1;255614;1193;9.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  130.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 12:52;;130;;5852;195;3.9;117151;418;3.1;-3020;259;4.7;12988;298;33.6;10249;841;6.4;962;436;10.3;4240319;2037;47.2;247567;1178;5.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  135.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 12:54;;135;;5718;195;1.7;114810;415;2.1;-2801;257;5.6;12215;295;28.3;11067;852;5.3;555;432;10.3;4136594;2013;46.8;253171;1190;7.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  140.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 12:55;;140;;5509;187;2.3;106500;399;3.1;-2183;244;4.3;10638;285;24.5;11333;838;5.7;-1145;415;8.3;3579379;1881;48.3;245423;1167;7.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  145.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 12:56;;145;;6640;191;1.4;127748;427;2.2;-2135;242;4.6;14076;290;25.9;10894;795;7;8107;436;14.2;3546704;1874;44.6;228382;1123;8.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  150.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;51;11.04.17 12:57;;150;;6618;193;2.7;139835;442;1.5;-2239;238;3.8;15531;291;23.6;9997;787;6.2;11995;438;16.6;3320307;1818;39.9;227050;1117;8.6
