FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ni_Area ;Ni_ DArea ;Ni_ ChiSqr;Cu_Area ;Cu_ DArea ;Cu_ ChiSqr;Zn_Area ;Zn_ DArea ;Zn_ ChiSqr;Ga_Area ;Ga_ DArea ;Ga_ ChiSqr;Br_Area ;Br_ DArea ;Br_ ChiSqr;Rb_Area ;Rb_ DArea ;Rb_ ChiSqr;Sr_Area ;Sr_ DArea ;Sr_ ChiSqr;Y_Area ;Y_ DArea ;Y_ ChiSqr;Zr_Area ;Zr_ DArea ;Zr_ ChiSqr;Nb_Area ;Nb_ DArea ;Nb_ ChiSqr;Mo_Area ;Mo_ DArea ;Mo_ ChiSqr;Hg_Area ;Hg_ DArea ;Hg_ ChiSqr;Pb_Area ;Pb_ DArea ;Pb_ ChiSqr;Bi_Area ;Bi_ DArea ;Bi_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17   95.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;76;10.04.17 19:18;;95;;1611;3;0.9;11424;5;1.2;26222;7;1.4;-137;6;0.5;6881;15;0.8;14109;20;0.5;130676;25;0.7;7115;23;0.9;23423;25;0.6;1686;25;0.9;163;25;1.3;1227;8;0.7;12359;10;0.6;839;11;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  100.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;76;10.04.17 19:20;;100;;1549;3;3;11278;5;0.7;26725;7;0.7;-441;6;0.7;5678;15;1.1;14430;20;0.8;132697;24;1.1;6530;23;0.6;23505;25;0.9;-830;24;0.7;-20;25;1.5;1663;8;0.8;14283;10;0.7;1458;11;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  105.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:21;;105;;1459;3;4.3;11495;5;0.7;29103;7;0.6;-332;6;0.7;6000;15;0.9;13598;20;0.6;137007;24;0.6;7613;23;1.1;23776;24;1.1;300;24;0.5;-302;25;0.9;1482;8;0.8;14365;10;1;1325;11;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  110.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:23;;110;;1586;99;3;11417;153;0.4;27323;229;0.9;-393;188;0.8;5155;513;0.8;13617;635;0.5;135334;886;0.4;7497;730;1.1;26114;789;0.9;469;939;0.7;-561;948;0.9;1086;266;0.7;14427;331;1;1078;343;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  115.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:24;;115;;1806;3;2;11193;5;0.6;27322;7;0.9;-489;6;0.7;5385;15;0.8;13266;20;0.3;133743;24;0.9;7245;23;0.8;26641;24;0.8;739;24;0.9;-900;25;1;1269;8;0.5;13982;10;0.8;826;11;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  120.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:26;;120;;1720;3;2.8;10739;5;0.6;27677;7;0.9;-294;6;0.7;5646;15;0.5;13893;20;0.8;136709;24;0.6;6637;23;0.7;25622;24;0.8;-545;24;0.6;14;25;1.1;1088;8;0.6;15297;10;0.7;1429;11;1.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  125.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:27;;125;;1562;3;3.3;11637;5;0.7;28295;7;0.6;-269;6;0.5;6189;15;0.5;14107;20;0.7;134986;24;0.9;7003;23;0.9;25888;24;0.6;-174;24;0.9;-488;25;1.4;1104;8;0.4;14922;10;0.9;1419;11;1.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  130.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:28;;130;;1567;3;2.1;12247;5;0.9;29507;7;0.8;-93;6;0.6;5215;15;0.9;14622;20;0.5;135893;24;0.3;7082;22;0.7;25056;24;0.7;202;24;0.6;806;25;0.9;1355;8;1;14589;10;1.3;1222;11;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  135.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:30;;135;;1642;3;3.5;12102;5;0.5;28902;7;0.6;-281;6;0.7;4786;15;0.5;14124;20;0.7;134509;24;0.9;7061;23;1;24756;24;1;-97;24;0.6;-384;25;1.2;1837;8;0.7;14934;10;1.2;1640;11;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  140.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:31;;140;;1783;3;2.4;11851;5;1.3;28625;7;1.3;-539;6;0.5;4771;15;0.9;14716;20;0.7;136522;24;0.8;6466;23;0.9;24764;24;0.9;575;24;0.8;-1298;25;1.1;1669;8;0.6;14701;10;0.9;1367;11;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  145.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:33;;145;;1630;3;3;13256;5;1.6;30078;7;0.5;-205;6;0.7;5373;15;0.7;14057;20;0.6;135578;24;0.5;7162;23;0.8;27045;24;1.1;-778;24;0.7;-1403;25;0.7;1158;8;0.6;14366;10;0.8;1081;11;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  150.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:34;;150;;1629;3;3.8;11007;5;0.8;26537;7;0.5;-329;6;0.7;4662;15;0.9;13009;20;0.3;136047;24;0.5;6962;23;0.5;21786;24;1;342;24;0.7;-26;25;1.2;1332;8;0.8;13752;10;1;1121;11;1
