FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Al_Area ;Al_ DArea ;Al_ ChiSqr;Si_Area ;Si_ DArea ;Si_ ChiSqr;P_Area ;P_ DArea ;P_ ChiSqr;S_Area ;S_ DArea ;S_ ChiSqr;Cl_Area ;Cl_ DArea ;Cl_ ChiSqr;K_Area ;K_ DArea ;K_ ChiSqr;Ca_Area ;Ca_ DArea ;Ca_ ChiSqr;Rh_Area ;Rh_ DArea ;Rh_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15   40.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;35;07.01.17 21:30;;40;;526;95;0.9;45339;249;0.4;-249;117;0.5;7247;208;4.2;14081;1000;0.6;-3839;278;3.2;43374;364;0.8;169966;1151;0.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15   45.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;37;07.01.17 21:31;;45;;512;105;0.4;49696;266;0.2;-648;140;0.7;6715;213;3.9;14202;719;0.5;-1386;298;4.1;497437;773;2.7;167053;961;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15   50.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;40;07.01.17 21:31;;50;;728;123;0.7;57413;292;1;-703;171;1.5;3607;218;3.2;14497;715;2.3;2772;342;8.5;1292395;1167;13.5;170429;969;3.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15   55.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;40;07.01.17 21:32;;55;;1100;126;0.9;64256;306;1.6;-1150;176;2.4;5490;226;6.8;14686;700;4.5;5501;350;8.4;1384337;1204;11.4;166433;957;5.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15   60.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;40;07.01.17 21:33;;60;;839;127;0.6;67650;313;0.9;-998;176;1.6;6692;229;4;16165;696;3.5;6278;353;8.9;1408325;1214;12.4;163817;951;4.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15   65.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;39;07.01.17 21:34;;65;;1049;122;0.4;73236;319;2;-846;164;2.6;6668;223;3.6;15504;681;3.8;8811;347;8.5;1064454;1072;9.2;165185;938;6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15   70.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;39;07.01.17 21:35;;70;;881;122;1;63641;302;0.9;-690;166;1.6;7732;227;4.3;16171;692;3;8483;348;8.9;1160537;1113;12;164546;943;4.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15   75.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;40;07.01.17 21:36;;75;;1094;128;1;67812;313;1.3;-1028;178;3.3;10108;239;4.7;15914;685;4.1;11748;361;7.8;1413428;1217;11.4;162031;938;5.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15   80.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;40;07.01.17 21:36;;80;;1178;130;1.2;66412;311;1.5;-995;176;3.9;10074;238;6.8;15758;690;5.2;9847;358;9.1;1369944;1198;11.4;162048;943;6.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15   85.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;40;07.01.17 21:37;;85;;1067;127;1.5;62124;304;1.2;-1154;180;3.1;10768;241;5.8;15790;697;4.4;5684;351;7.8;1463461;1233;12.1;163067;948;5.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15   90.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;07.01.17 21:38;;90;;839;134;1.1;65332;313;1.2;-782;190;3.9;10756;245;6.5;14874;706;5.6;5138;360;7.2;1780031;1349;13.6;166150;964;6.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15   95.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;07.01.17 21:39;;95;;893;131;1.3;64498;311;1;-1284;190;4;10467;244;5;15176;708;5.5;3241;356;7.2;1815400;1361;13.7;167517;965;5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15  100.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;41;07.01.17 21:40;;100;;929;130;0.6;66428;312;1.2;-882;183;2.8;11120;241;7.4;14607;700;4.7;5253;353;8.7;1593639;1282;11.9;168859;958;6.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15  105.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;41;07.01.17 21:41;;105;;1267;130;0.6;71245;320;2.3;-716;179;3.1;10797;240;5.2;14383;695;4.4;7755;358;10.5;1463700;1236;12.1;170426;956;6.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15  110.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;41;07.01.17 21:42;;110;;1414;129;1.5;71393;319;1.4;-877;179;2.2;10014;239;10.4;16378;691;4.6;6461;357;11.5;1487993;1245;12.4;166510;947;6.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15  115.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;40;07.01.17 21:43;;115;;877;127;0.6;70654;318;2.1;-830;174;2.7;9773;235;8.4;15659;684;3.5;6252;351;8.8;1366429;1197;11.8;162461;939;4.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15  120.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;41;07.01.17 21:43;;120;;1355;131;0.9;78945;332;1.6;-876;177;2.3;11282;242;6.2;17407;693;3.9;10659;368;9;1410494;1219;11;168195;954;5.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-15\Run 1 at  10kV\ZH-16-15  125.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;07.01.17 21:44;;125;;1502;136;0.9;84307;344;2.2;-941;186;2.3;12695;251;7.3;16922;699;4.3;11411;377;10.4;1640373;1305;13.3;171549;965;6.1
