FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Al_Area ;Al_ DArea ;Al_ ChiSqr;Si_Area ;Si_ DArea ;Si_ ChiSqr;P_Area ;P_ DArea ;P_ ChiSqr;S_Area ;S_ DArea ;S_ ChiSqr;Cl_Area ;Cl_ DArea ;Cl_ ChiSqr;K_Area ;K_ DArea ;K_ ChiSqr;Ca_Area ;Ca_ DArea ;Ca_ ChiSqr;Rh_Area ;Rh_ DArea ;Rh_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 1 at  10kV\ZH-16-13   45.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;38;05.01.17 10:10;;45;;571;111;0.8;50240;270;1.4;-576;142;1.1;3466;216;20.3;20562;831;1.5;-1186;330;5.2;378592;723;2.5;215047;1084;1.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 1 at  10kV\ZH-16-13   50.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;05.01.17 10:10;;50;;1260;141;1.6;68042;321;1.3;-600;198;3.7;2921;234;21.8;19546;767;7.6;12784;402;14.5;1991164;1432;20.1;193487;1042;7.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 1 at  10kV\ZH-16-13   55.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;05.01.17 10:11;;55;;1989;147;1.1;73427;333;0.7;-978;205;4.1;5175;240;11.7;19837;747;5.4;17794;406;14.9;2228265;1502;20.3;180643;1017;9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 1 at  10kV\ZH-16-13   60.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;43;05.01.17 10:12;;60;;2241;144;1.3;71816;327;1.3;-884;197;2.2;6090;238;9.2;18717;717;5.8;17529;399;18.3;2046889;1444;17.6;170791;979;9.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 1 at  10kV\ZH-16-13   65.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;05.01.17 10:13;;65;;1831;141;0.8;68280;320;2.2;-1025;193;2.7;7940;239;8.5;16897;710;4.7;16849;391;12.8;1891950;1392;14.9;166130;970;7.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 1 at  10kV\ZH-16-13   70.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;05.01.17 10:14;;70;;1276;138;1.5;64717;313;1.4;-752;191;4.5;8055;238;4.5;17709;713;4.4;15549;384;12.5;1786811;1354;16.4;165676;969;7.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 1 at  10kV\ZH-16-13   75.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;41;05.01.17 10:15;;75;;1678;134;2.1;62782;307;2.1;-1083;186;2.3;7830;236;5.8;17558;712;5.3;14123;379;12.1;1715942;1330;15.7;165882;969;8.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 1 at  10kV\ZH-16-13   80.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;05.01.17 10:16;;80;;1585;135;1.1;62987;309;1.6;-1266;190;5;9195;240;7.6;16229;710;3.9;15032;381;11.4;1735773;1337;15.3;166350;966;7.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 1 at  10kV\ZH-16-13   85.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;41;05.01.17 10:17;;85;;1474;136;0.4;63890;311;1.4;-871;188;3.1;11211;245;7.2;16168;711;4.9;15127;380;13.5;1714512;1329;15.1;168590;967;8.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 1 at  10kV\ZH-16-13   90.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;05.01.17 10:18;;90;;1579;136;1;64267;311;1;-1011;189;2.3;11487;249;6.4;16943;711;4.8;15620;382;10.9;1767737;1347;15.3;168889;967;7.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 1 at  10kV\ZH-16-13   95.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;42;05.01.17 10:19;;95;;1559;139;1;65185;315;1;-1478;194;3.5;11861;251;6.1;15137;719;5.3;14348;388;14.5;1896536;1393;16;172150;981;8.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 1 at  10kV\ZH-16-13  100.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;43;05.01.17 10:19;;100;;1356;140;0.7;64112;314;0.7;-1228;199;3.8;8393;244;5.3;16555;729;4.5;12659;387;11.2;2022667;1434;17;172867;990;8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-13\Run 1 at  10kV\ZH-16-13  105.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;05.01.17 10:20;;105;;2095;149;1.6;73047;333;1.2;-736;208;3.6;9907;255;5.7;16651;740;5.7;16811;406;15.6;2323508;1531;19.1;178508;1011;10.4
