CoreID,Cd,Cr,Cu,Hg,Pb,Sn,Zn
AW-13-16,8.5,20,20.5,43,20,18,7
ZH-16-10,3,9,9,9,8.5,9,2.5
ZH-16-11,6.5,10.5,12,12,12,12.5,7
ZH-16-12,50.5,68.5,9.5,10,9.5,8.5,5
ZH-16-13,46,62.5,70,70,11,10.5,6.5
ZH-16-14,49.5,73.5,82.5,88,13,12,10
ZH-16-15,71,13,12.5,50,13,11.5,7
ZH-16-16,20.5,21.5,7,7.5,6.5,6,3
ZH-17-17,66.5,44.5,49.5,49.5,47,44,45
ZH-17-18,45,17,45.5,45,45.5,44,45.5
ZH-17-19,15.5,54,75.5,3.5,57.5,75.5,2
ZH-17-20,,2,50.5,37.5,12.5,,37
ZH-17-21,14.8,13.3,0,48.8,34.8,32.8,21.8
